,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
44,0.42,0.37,0.02,0.09,0.05,0.06,0.02,0.98,0.84,0.2,0.63,0.57
45,0.28,0.27,0.15,0.11,0.054000000000000006,0.1,0.21,0.98,0.97,0.22,0.88,0.42
46,0.48,0.56,0.43,0.12,0.114,0.3,0.38,0.98,0.78,0.31,0.61,0.57
47,0.54,0.11,0.52,0.08,0.113,0.15,0.11,0.98,0.78,0.23,0.63,0.57
48,0.39,0.19,0.23,0.08,0.066,0.06,0.02,0.98,0.8,0.22,0.61,0.57
49,0.34,0.13,0.37,0.07,0.07400000000000001,0.15,0.32,0.98,0.8,0.23,0.61,0.57
50,0.55,0.37,0.26,0.09,0.07400000000000001,0.04,0.06,0.98,0.75,0.32,0.61,0.57
51,0.41,0.27,0.04,0.12,0.069,0.1,0.03,0.98,0.82,0.26,0.63,0.71
52,0.41,0.26,0.04,0.11,0.068,0.07,0.03,0.98,0.82,0.26,0.63,0.71
53,0.53,0.18,0.36,0.17,0.081,0.41,0.4,0.98,0.76,0.22,0.63,0.57
54,0.47,0.26,0.15,0.16,0.11,0.45,0.24,0.98,0.75,0.26,0.68,0.71
55,0.48,0.34,0.04,0.23,0.084,0.34,0.14,0.99,0.8,0.2,0.63,0.57
56,0.64,0.2,0.57,0.2,0.07,0.04,0.01,0.98,0.72,0.26,0.64,0.57
57,0.46,0.35,0.12,0.31,0.111,0.69,0.37,0.99,0.78,0.33,0.63,0.57
58,0.48,0.32,0.18,0.13,0.076,0.23,0.18,0.99,0.83,0.24,0.67,0.57
59,0.45,0.18,0.31,0.13,0.07400000000000001,0.11,0.15,0.98,0.82,0.21,0.63,0.71
60,0.55,0.19,0.4,0.12,0.079,0.25,0.17,0.99,0.83,0.26,0.61,0.57
61,0.48,0.39,0.49,0.09,0.115,0.27,0.38,0.98,0.76,0.3,0.62,0.57
62,0.46,0.27,0.16,0.1,0.085,0.15,0.11,0.98,0.81,0.25,0.63,0.86
63,0.43,0.42,0.05,0.11,0.081,0.17,0.18,0.98,0.82,0.22,0.65,0.57
64,0.44,0.41,0.05,0.28,0.086,0.04,0.03,0.98,0.82,0.13,0.73,0.57
65,0.44,0.41,0.05,0.28,0.086,0.04,0.03,0.98,0.82,0.13,0.73,0.57
66,0.46,0.27,0.11,0.07,0.079,0.14,0.13,0.98,0.83,0.23,0.64,0.57
67,0.41,0.4,0.07,0.08,0.076,0.07,0.04,0.98,0.83,0.23,0.72,0.57
68,0.58,0.13,0.57,0.11,0.07400000000000001,0.37,0.22,0.98,0.79,0.34,0.72,0.57
69,0.5,0.4,0.05,0.1,0.07400000000000001,0.1,0.06,0.98,0.8,0.43,0.7,0.71
70,0.48,0.35,0.08,0.1,0.076,0.2,0.08,0.98,0.8,0.21,0.63,0.71
71,0.48,0.37,0.23,0.11,0.08800000000000001,0.23,0.33,0.98,0.8,0.18,0.63,0.57
72,0.48,0.39,0.22,0.1,0.084,0.24,0.32,0.98,0.79,0.18,0.63,0.57
73,0.51,0.38,0.26,0.11,0.084,0.14,0.14,0.99,0.79,0.2,0.61,0.42
74,0.6,0.13,0.54,0.14,0.094,0.38,0.28,0.99,0.79,0.36,0.64,0.57
75,0.55,0.2,0.64,0.12,0.09300000000000001,0.11,0.14,0.99,0.86,0.27,0.7,0.57
76,0.55,0.2,0.64,0.12,0.09300000000000001,0.11,0.14,0.99,0.86,0.27,0.7,0.57
77,0.42,0.45,0.0,0.13,0.10400000000000001,0.18,0.09,0.98,0.86,0.21,0.72,0.71
78,0.41,0.43,0.12,0.11,0.086,0.15,0.27,0.98,0.81,0.2,0.67,0.57
79,0.51,0.34,0.2,0.07,0.08,0.37,0.41,0.99,0.75,0.52,0.61,0.42
80,0.38,0.22,0.2,0.08,0.069,0.03,0.04,0.98,0.82,0.22,0.61,0.57
81,0.48,0.21,0.7,0.1,0.46399999999999997,0.3,0.22,0.99,0.74,0.61,0.63,0.57
82,0.46,0.26,0.47,0.11,0.086,0.28,0.24,0.98,0.81,0.23,0.61,0.57
83,0.45,0.37,0.26,0.09,0.401,0.21,0.17,0.98,0.75,0.53,0.63,0.57
84,0.39,0.12,0.48,0.09,0.069,0.24,0.2,0.98,0.83,0.34,0.69,0.71
85,0.43,0.29,0.15,0.12,0.076,0.25,0.13,0.98,0.82,0.24,0.67,0.57
86,0.53,0.25,0.28,0.1,0.11,0.27,0.47,0.99,0.68,0.97,0.66,0.71
87,0.48,0.25,0.26,0.1,0.062,0.11,0.1,0.98,0.82,0.26,0.64,0.57
88,0.58,0.18,0.44,0.11,0.107,0.46,0.43,0.99,0.74,0.58,0.63,0.57
89,0.43,0.34,0.08,0.09,0.076,0.1,0.07,0.99,0.84,0.2,0.6,0.57
90,0.49,0.27,0.26,0.1,0.079,0.58,0.48,0.98,0.77,0.21,0.63,0.57
91,0.53,0.25,0.28,0.1,0.11,0.27,0.47,0.99,0.68,0.97,0.66,0.71
92,0.53,0.25,0.29,0.11,0.11,0.25,0.45,0.99,0.68,0.99,0.65,0.57
93,0.48,0.25,0.26,0.1,0.062,0.11,0.1,0.98,0.82,0.26,0.64,0.57
94,0.3,0.62,0.04,0.07,0.045,0.56,0.29,0.98,0.92,0.18,0.7,0.42
95,0.28,0.33,0.17,0.13,0.057999999999999996,0.23,0.36,0.98,0.95,0.24,0.86,0.71
96,0.42,0.45,0.0,0.17,0.102,0.1,0.07,0.98,0.84,0.22,0.72,0.57
97,0.43,0.26,0.25,0.11,0.07,0.03,0.07,0.98,0.78,0.26,0.61,0.57
98,0.47,0.53,0.06,0.14,0.079,0.06,0.02,0.98,0.82,0.22,0.65,0.57
99,0.5,0.29,0.18,0.1,0.08,0.17,0.11,0.99,0.79,0.24,0.6,0.71
100,0.51,0.33,0.3,0.11,0.084,0.14,0.16,0.99,0.82,0.25,0.68,0.71
101,0.48,0.26,0.3,0.1,0.075,0.1,0.07,0.98,0.79,0.22,0.69,0.71
102,0.5,0.29,0.18,0.1,0.08,0.17,0.11,0.99,0.79,0.24,0.6,0.71
103,0.5,0.31,0.22,0.11,0.077,0.15,0.22,0.98,0.79,0.19,0.61,0.57
104,0.44,0.25,0.24,0.12,0.07,0.06,0.12,0.98,0.8,0.18,0.63,0.57
105,0.5,0.31,0.22,0.11,0.077,0.15,0.22,0.98,0.79,0.19,0.61,0.57
106,0.48,0.2,0.68,0.09,0.467,0.24,0.23,0.99,0.73,0.63,0.62,0.57
107,0.38,0.35,0.31,0.09,0.08800000000000001,0.2,0.21,0.98,0.84,0.34,0.62,0.57
108,0.5,0.14,0.53,0.14,0.091,0.24,0.27,0.99,0.81,0.35,0.64,0.71
109,0.5,0.45,0.52,0.11,0.122,0.51,0.52,0.98,0.76,0.29,0.62,0.57
110,0.48,0.3,0.19,0.09,0.10400000000000001,0.15,0.15,0.98,0.76,0.42,0.63,0.57
111,0.52,0.34,0.09,0.12,0.084,0.14,0.37,0.98,0.75,0.27,0.65,0.57
112,0.52,0.33,0.1,0.12,0.085,0.18,0.38,0.98,0.75,0.27,0.65,0.57
113,0.63,0.13,0.44,0.13,0.08,0.3,0.15,0.99,0.8,0.28,0.65,0.71
114,0.48,0.3,0.19,0.09,0.10400000000000001,0.15,0.15,0.98,0.76,0.42,0.63,0.57
115,0.58,0.19,0.31,0.12,0.09,0.17,0.21,0.98,0.72,0.26,0.7,0.71
116,0.51,0.29,0.28,0.1,0.077,0.14,0.13,0.99,0.82,0.25,0.67,0.71
117,0.48,0.3,0.12,0.11,0.08199999999999999,0.08,0.09,0.98,0.81,0.19,0.63,0.71
118,0.55,0.29,0.04,0.12,0.11900000000000001,0.18,0.19,0.98,0.76,0.24,0.73,0.71
119,0.43,0.39,0.08,0.09,0.09699999999999999,0.3,0.3,0.98,0.8,0.21,0.61,0.71
120,0.45,0.65,0.09,0.09,0.17800000000000002,0.13,0.3,0.98,0.79,0.23,0.6,0.57
121,0.55,0.29,0.04,0.12,0.11900000000000001,0.18,0.19,0.98,0.76,0.24,0.73,0.71
122,0.45,0.39,0.0,0.14,0.075,0.03,0.04,0.99,0.85,0.2,0.61,0.57
123,0.5,0.4,0.0,0.15,0.08,0.14,0.11,0.99,0.83,0.2,0.63,0.57
124,0.48,0.26,0.17,0.08,0.08199999999999999,0.28,0.35,0.98,0.82,0.18,0.63,0.57
125,0.56,0.34,0.04,0.1,0.146,0.37,0.3,0.99,0.75,0.3,0.63,0.57
126,0.51,0.83,0.0,0.09,0.081,0.03,0.03,0.98,0.86,0.18,0.73,0.57
127,0.5,0.83,0.0,0.09,0.08199999999999999,0.03,0.03,0.98,0.86,0.18,0.73,0.57
128,0.5,0.32,0.16,0.09,0.065,0.03,0.05,0.98,0.83,0.41,0.7,0.86
129,0.37,0.18,0.15,0.09,0.07200000000000001,0.07,0.06,0.98,0.83,0.23,0.63,0.57
130,0.5,0.43,0.56,0.11,0.11800000000000001,0.41,0.46,0.98,0.77,0.27,0.63,0.57
131,0.34,0.26,0.09,0.13,0.049,0.23,0.34,0.98,0.89,0.26,0.87,0.57
132,0.34,0.26,0.09,0.13,0.049,0.23,0.34,0.98,0.89,0.26,0.87,0.57
133,0.41,0.26,0.01,0.07,0.06,0.23,0.08,0.98,0.82,0.23,0.65,0.71
134,0.49,0.63,0.05,0.12,0.084,0.17,0.09,0.98,0.77,0.21,0.66,0.71
135,0.52,0.43,0.11,0.1,0.09,0.21,0.21,0.98,0.76,0.36,0.64,0.57
136,0.51,0.41,0.15,0.09,0.08900000000000001,0.13,0.17,0.98,0.77,0.33,0.63,0.57
137,0.44,0.2,0.36,0.11,0.081,0.17,0.15,0.99,0.84,0.26,0.61,0.57
138,0.48,0.3,0.19,0.11,0.081,0.2,0.36,0.98,0.8,0.21,0.63,0.57
139,0.48,0.3,0.19,0.11,0.081,0.23,0.37,0.98,0.8,0.21,0.63,0.57
140,0.52,0.43,0.11,0.1,0.09,0.21,0.21,0.98,0.76,0.36,0.64,0.57
141,0.51,0.41,0.15,0.09,0.08900000000000001,0.13,0.17,0.98,0.77,0.33,0.63,0.57
142,0.32,0.15,0.0,0.09,0.05,0.37,0.21,0.97,0.9,0.34,0.94,0.71
143,0.39,0.18,0.08,0.09,0.066,0.03,0.06,0.98,0.8,0.23,0.63,0.57
144,0.32,0.15,0.0,0.09,0.05,0.37,0.21,0.97,0.9,0.34,0.94,0.71
145,0.5,0.37,0.55,0.09,0.11699999999999999,0.44,0.48,0.98,0.75,0.25,0.63,0.57
146,0.35,0.38,0.02,0.09,0.087,0.28,0.32,0.98,0.86,0.2,0.67,0.57
147,0.47,0.25,0.26,0.08,0.23600000000000002,0.13,0.3,0.98,0.74,0.35,0.62,0.57
148,0.43,0.25,0.1,0.13,0.07400000000000001,0.15,0.09,0.98,0.83,0.23,0.68,0.71
149,0.51,0.19,0.44,0.16,0.08900000000000001,0.14,0.14,0.99,0.86,0.25,0.7,0.71
150,0.45,0.14,0.47,0.11,0.077,0.06,0.03,0.98,0.8,0.2,0.69,0.71
151,0.57,0.27,1.0,0.2,0.61,0.44,0.23,0.99,0.63,1.0,0.63,0.42
152,0.46,0.33,0.03,0.09,0.095,0.34,0.34,0.98,0.81,0.27,0.67,0.57
153,0.46,0.33,0.03,0.09,0.095,0.34,0.34,0.98,0.81,0.27,0.67,0.57
154,0.44,0.21,0.42,0.34,0.07,0.39,0.44,0.99,0.83,0.39,0.7,0.57
155,0.44,0.21,0.42,0.34,0.071,0.38,0.44,0.99,0.83,0.38,0.7,0.57
156,0.44,0.21,0.42,0.34,0.07,0.39,0.44,0.99,0.83,0.39,0.7,0.57
157,0.44,0.21,0.42,0.34,0.071,0.38,0.44,0.99,0.83,0.38,0.7,0.57
158,0.44,0.38,0.0,0.12,0.073,0.15,0.07,0.98,0.84,0.24,0.62,0.57
159,0.42,0.33,0.18,0.1,0.079,0.24,0.29,0.98,0.88,0.29,0.62,0.71
160,0.47,0.57,0.03,0.11,0.09,0.08,0.06,0.98,0.76,0.28,0.64,0.57
161,0.47,0.38,0.02,0.06,0.07200000000000001,0.11,0.06,0.98,0.75,0.63,0.61,0.42
162,0.48,0.28,0.04,0.09,0.076,0.23,0.1,0.98,0.8,0.28,0.67,0.71
163,0.46,0.33,0.26,0.46,0.07,0.49,0.41,0.99,0.81,0.23,0.63,0.57
164,0.45,0.32,0.26,0.45,0.07,0.48,0.41,0.99,0.81,0.23,0.63,0.57
165,0.48,0.35,0.48,0.09,0.1,0.18,0.33,0.98,0.76,0.32,0.63,0.57
166,0.42,0.35,0.1,0.11,0.085,0.24,0.34,0.98,0.8,0.25,0.68,0.57
167,0.45,0.29,0.03,0.08,0.07200000000000001,0.23,0.14,0.98,0.81,0.22,0.6,0.42
168,0.42,0.35,0.07,0.11,0.08900000000000001,0.14,0.14,0.98,0.84,0.27,0.69,0.71
169,0.46,0.4,0.24,0.09,0.36,0.2,0.21,0.98,0.7,0.98,0.63,0.57
170,0.49,0.52,0.03,0.09,0.057999999999999996,0.04,0.02,0.99,0.81,0.12,0.61,0.42
171,0.5,0.2,0.17,0.11,0.073,0.07,0.05,0.99,0.79,0.31,0.61,0.71
172,0.5,0.2,0.17,0.11,0.073,0.07,0.05,0.99,0.79,0.31,0.61,0.71
173,0.46,0.34,0.05,0.1,0.068,0.32,0.14,0.98,0.83,0.29,0.77,0.71
174,0.45,0.18,0.21,0.11,0.08,0.08,0.11,0.98,0.8,0.22,0.63,0.57
175,0.43,0.26,0.04,0.07,0.085,0.25,0.16,0.98,0.81,0.43,0.63,0.57
176,0.45,0.18,0.21,0.11,0.08,0.08,0.11,0.98,0.8,0.22,0.63,0.57
177,0.46,0.27,0.42,0.13,0.087,0.1,0.12,0.99,0.87,0.31,0.7,0.71
178,0.43,0.47,0.0,0.14,0.068,0.08,0.06,0.98,0.84,0.28,0.64,0.57
179,0.55,0.33,0.14,0.13,0.067,0.13,0.14,0.98,0.76,0.3,0.63,0.57
180,0.55,0.33,0.14,0.13,0.067,0.13,0.14,0.98,0.76,0.3,0.63,0.57
181,0.55,0.33,0.49,0.11,0.27,0.31,0.37,0.99,0.74,0.59,0.62,0.57
182,0.44,0.42,0.02,0.14,0.076,0.21,0.14,0.99,0.83,0.25,0.62,0.57
183,0.42,0.33,0.2,0.09,0.077,0.14,0.22,0.98,0.86,0.29,0.62,0.57
184,0.41,0.34,0.21,0.1,0.079,0.1,0.21,0.98,0.86,0.29,0.62,0.71
185,0.55,0.13,0.57,0.11,0.111,0.35,0.29,0.98,0.78,0.26,0.65,0.57
186,0.46,0.18,0.48,0.11,0.08199999999999999,0.18,0.22,0.99,0.8,0.27,0.61,0.57
187,0.48,0.4,0.1,0.15,0.084,0.11,0.08,0.99,0.82,0.23,0.65,0.57
188,0.49,0.26,0.33,0.11,0.084,0.2,0.49,0.98,0.76,0.27,0.63,0.57
189,0.49,0.25,0.32,0.1,0.08199999999999999,0.23,0.49,0.98,0.76,0.27,0.63,0.57
190,0.51,0.26,0.35,0.17,0.077,0.28,0.43,0.99,0.77,0.32,0.63,0.57
191,0.39,0.17,0.25,0.1,0.07400000000000001,0.28,0.16,0.99,0.87,0.32,0.65,0.71
192,0.42,0.35,0.12,0.23,0.099,0.21,0.43,0.98,0.79,0.31,0.63,0.57
193,0.47,0.29,0.21,0.12,0.071,0.08,0.09,0.98,0.79,0.27,0.65,0.57
194,0.47,0.29,0.21,0.12,0.071,0.08,0.09,0.98,0.79,0.27,0.65,0.57
195,0.48,0.32,0.33,0.11,0.07400000000000001,0.32,0.41,0.98,0.78,0.27,0.63,0.57
196,0.45,0.31,0.3,0.13,0.07400000000000001,0.2,0.18,0.98,0.84,0.3,0.68,0.57
197,0.72,0.12,0.6,0.11,0.067,0.15,0.08,0.99,0.74,0.56,0.67,0.71
198,0.33,0.49,0.08,0.05,0.046,0.17,0.31,0.97,0.87,0.48,0.87,0.86
199,0.43,0.66,0.06,0.11,0.061,0.15,0.1,0.98,0.85,0.19,0.76,0.42
200,0.6,0.13,0.47,0.07,0.055999999999999994,0.11,0.07,0.98,0.77,0.46,0.69,0.86
201,0.55,0.17,0.48,0.11,0.09699999999999999,0.54,0.5,0.99,0.72,0.6,0.62,0.57
202,0.42,0.26,0.11,0.07,0.075,0.21,0.16,0.98,0.81,0.44,0.63,0.57
203,0.43,0.2,0.35,0.08,0.08800000000000001,0.21,0.13,0.98,0.8,0.27,0.61,0.57
204,0.43,0.21,0.36,0.08,0.08900000000000001,0.18,0.12,0.98,0.8,0.28,0.61,0.71
205,0.8,0.12,0.74,0.15,0.095,0.11,0.09,0.99,0.76,0.42,0.72,0.86
206,0.8,0.12,0.74,0.15,0.095,0.11,0.09,0.99,0.76,0.42,0.72,0.86
207,0.48,0.31,0.31,0.09,0.069,0.35,0.41,0.98,0.79,0.26,0.62,0.57
208,0.48,0.22,0.28,0.15,0.1,0.24,0.32,0.98,0.77,0.36,0.63,0.57
209,0.69,0.12,0.58,0.11,0.054000000000000006,0.08,0.06,0.99,0.79,0.5,0.7,0.86
210,0.6,0.28,0.6,0.11,0.039,0.06,0.06,0.98,0.79,0.48,0.83,0.71
211,0.5,0.41,0.24,0.16,0.083,0.13,0.21,0.98,0.81,0.28,0.67,0.71
212,0.73,0.22,0.64,0.11,0.059000000000000004,0.06,0.04,0.99,0.76,0.36,0.68,0.71
213,0.51,0.31,0.26,0.12,0.06,0.38,0.22,0.98,0.79,0.19,0.67,0.57
214,0.48,0.42,0.08,0.13,0.092,0.13,0.13,0.99,0.77,0.38,0.65,0.71
215,0.43,0.25,0.49,0.35,0.06,0.35,0.41,0.99,0.8,0.42,0.7,0.57
216,0.54,0.34,0.16,0.11,0.10099999999999999,0.17,0.16,0.98,0.74,0.29,0.74,0.57
217,0.5,0.41,0.22,0.12,0.07200000000000001,0.14,0.13,0.98,0.81,0.27,0.61,0.57
218,0.46,0.25,0.19,0.1,0.076,0.13,0.14,0.98,0.82,0.27,0.65,0.57
219,0.48,0.28,0.33,0.13,0.08,0.32,0.49,0.98,0.79,0.31,0.63,0.57
220,0.48,0.15,0.37,0.11,0.08199999999999999,0.32,0.19,0.98,0.8,0.3,0.63,0.71
221,0.46,0.28,0.26,0.11,0.10099999999999999,0.21,0.24,0.98,0.75,0.29,0.63,0.57
222,0.42,0.33,0.04,0.07,0.057,0.06,0.02,0.98,0.83,0.31,0.63,0.57
223,0.53,0.36,0.25,0.11,0.083,0.1,0.09,0.99,0.79,0.31,0.67,0.71
224,0.52,0.35,0.36,0.11,0.08900000000000001,0.2,0.18,0.99,0.79,0.29,0.69,0.42
225,0.48,0.21,0.25,0.15,0.073,0.39,0.21,0.98,0.81,0.29,0.7,0.71
226,0.55,0.32,0.5,0.11,0.337,0.37,0.27,0.98,0.72,0.99,0.63,0.71
227,0.56,0.48,0.14,0.15,0.08900000000000001,0.11,0.07,0.99,0.82,0.33,0.65,0.57
228,0.48,0.21,0.25,0.15,0.073,0.39,0.21,0.98,0.81,0.29,0.7,0.71
229,0.43,0.27,0.25,0.15,0.081,0.13,0.12,0.98,0.84,0.24,0.74,0.57
230,0.32,0.24,0.04,0.08,0.054000000000000006,0.25,0.36,0.97,0.86,0.32,0.82,0.86
231,0.5,0.18,0.06,0.09,0.078,0.15,0.16,0.98,0.81,0.25,0.66,0.71
232,0.53,0.17,0.2,0.16,0.09,0.24,0.19,0.99,0.8,0.38,0.64,0.71
233,0.43,0.27,0.25,0.15,0.081,0.13,0.12,0.98,0.84,0.24,0.74,0.57
234,0.51,0.6,0.09,0.13,0.065,0.08,0.12,0.98,0.8,0.27,0.6,0.71
235,0.44,0.35,0.0,0.1,0.09699999999999999,0.18,0.12,0.98,0.81,0.29,0.6,0.71
236,0.44,0.35,0.0,0.1,0.09699999999999999,0.18,0.12,0.98,0.81,0.29,0.6,0.71
237,0.44,0.36,0.0,0.1,0.09699999999999999,0.2,0.13,0.98,0.81,0.29,0.61,0.71
238,0.44,0.35,0.0,0.1,0.09699999999999999,0.18,0.12,0.98,0.81,0.29,0.6,0.71
239,0.51,0.6,0.09,0.13,0.065,0.08,0.12,0.98,0.8,0.27,0.6,0.71
240,0.55,0.35,0.37,0.09,0.263,0.06,0.21,0.98,0.7,0.64,0.62,0.57
241,0.75,0.18,0.56,0.11,0.09300000000000001,0.07,0.07,0.99,0.74,0.38,0.73,0.71
242,0.48,0.31,0.1,0.09,0.102,0.38,0.37,0.98,0.73,0.23,0.65,0.71
243,0.94,0.06,0.44,0.12,0.075,0.13,0.07,0.99,0.72,0.47,0.61,0.86
244,0.94,0.06,0.44,0.12,0.075,0.13,0.07,0.99,0.72,0.47,0.61,0.86
245,0.45,0.37,0.0,0.11,0.084,0.07,0.07,0.99,0.88,0.55,0.66,0.71
246,0.44,0.38,0.07,0.1,0.075,0.21,0.17,0.98,0.81,0.25,0.63,0.57
247,0.51,0.33,0.17,0.13,0.07200000000000001,0.14,0.24,0.98,0.76,0.21,0.62,0.57
248,0.48,0.28,0.06,0.09,0.07400000000000001,0.11,0.13,0.98,0.81,0.23,0.65,0.71
249,0.45,0.37,0.0,0.11,0.084,0.07,0.07,0.99,0.88,0.55,0.66,0.71
250,0.67,0.13,0.44,0.08,0.063,0.21,0.12,0.99,0.77,0.43,0.67,0.71
251,0.44,0.33,0.0,0.09,0.07400000000000001,0.21,0.11,0.99,0.84,0.38,0.66,0.71
252,0.69,0.15,0.48,0.18,0.09,0.06,0.06,0.99,0.75,0.26,0.7,0.57
253,0.48,0.45,0.42,0.1,0.092,0.1,0.29,0.98,0.77,0.3,0.63,0.57
254,0.44,0.33,0.0,0.09,0.07400000000000001,0.21,0.11,0.99,0.84,0.38,0.66,0.71
255,0.5,0.31,0.23,0.19,0.073,0.23,0.41,0.98,0.78,0.29,0.62,0.57
256,0.58,0.15,0.37,0.12,0.075,0.06,0.04,0.99,0.77,0.32,0.61,0.57
257,0.41,0.39,0.0,0.11,0.075,0.15,0.19,0.98,0.85,0.36,0.61,0.57
258,0.48,0.2,0.76,0.09,0.611,0.1,0.15,0.98,0.72,0.76,0.63,0.57
259,0.62,0.13,0.47,0.15,0.085,0.18,0.11,0.99,0.81,0.44,0.7,0.86
260,0.49,0.14,0.23,0.09,0.077,0.24,0.15,0.98,0.79,0.34,0.62,0.57
261,0.43,0.58,0.04,0.11,0.087,0.15,0.22,0.98,0.81,0.31,0.63,0.42
262,0.5,0.27,0.03,0.09,0.07,0.13,0.11,0.98,0.8,0.29,0.67,0.57
263,0.49,0.17,0.23,0.09,0.077,0.31,0.16,0.98,0.79,0.36,0.62,0.57
264,0.78,0.3,0.49,0.13,0.064,0.06,0.08,0.99,0.73,0.49,0.73,0.57
265,0.74,0.09,0.52,0.09,0.071,0.07,0.02,0.98,0.76,0.39,0.68,0.86
266,0.5,0.51,0.0,0.19,0.096,0.35,0.2,0.99,0.88,0.39,0.65,0.42
267,0.49,0.15,0.46,0.21,0.078,0.2,0.12,0.99,0.81,0.48,0.86,1.0
268,0.43,0.29,0.04,0.17,0.077,0.08,0.08,0.99,0.91,0.52,0.63,0.71
269,0.72,0.04,0.51,0.24,0.10400000000000001,0.04,0.07,0.99,0.79,0.56,0.67,0.71
